geneSymbol	geneName	ProbeID	logFC	P.Value	adj.P.Val
PRKAG1	"protein kinase, AMP-activated, gamma 1 non-catalytic subunit"	6860092	0.19850206	0.008286402	0.058800671
NA	NA	1430113	-0.202522112	0.008306264	0.058906073
CNST	"consortin, connexin sorting protein"	6650121	0.200390147	0.008308701	0.058906073
ERO1L	ERO1-like (S. cerevisiae)	4780671	-0.20132422	0.008309601	0.058906073
ARL5B	ADP-ribosylation factor-like 5B	1710753	0.196931051	0.008311851	0.058906073
SLBP	stem-loop binding protein	4280603	-0.295651487	0.008315339	0.05891202
NA	NA	3850367	0.224647881	0.008326737	0.058973984
EIF2C3	"eukaryotic translation initiation factor 2C, 3"	1430528	-0.217357753	0.008330919	0.058980683
C3orf18	chromosome 3 open reading frame 18	3370372	-0.200973274	0.008335322	0.058980683
CUL4A	cullin 4A	7200021	-0.202094163	0.00833564	0.058980683
TFG	TRK-fused gene	870176	0.224019593	0.008354581	0.059095906
ZFAND2A	"zinc finger, AN1-type domain 2A"	870379	0.193837074	0.008365145	0.059132379
FNIP2	folliculin interacting protein 2	3850519	-0.207626726	0.008366017	0.059132379
LIPT1	lipoyltransferase 1	2970088	0.209163833	0.008369421	0.059132379
ARMCX2	"armadillo repeat containing, X-linked 2"	3930201	0.214576273	0.008370373	0.059132379
ZBTB40	zinc finger and BTB domain containing 40	6620601	0.216301146	0.008385117	0.059217725
NFKBIE	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon"	540139	0.190604927	0.008393006	0.059254622
LARP6	"La ribonucleoprotein domain family, member 6"	4830433	0.221118395	0.008397682	0.05926882
ATF3	activating transcription factor 3	4780128	0.232319092	0.008437393	0.059530197
XAF1	XIAP associated factor 1	450189	0.247859895	0.008460474	0.059674114
BLOC1S2	"biogenesis of lysosomal organelles complex-1, subunit 2"	2630743	0.233392769	0.008525452	0.060090559
PHF13	PHD finger protein 13	3060022	-0.22808498	0.008529826	0.060090559
NUP62	nucleoporin 62kDa	2510279	-0.19943153	0.008530095	0.060090559
SLC9A3R1	"solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1"	2450452	-0.210584001	0.008530325	0.060090559
NT5C3	"5'-nucleotidase, cytosolic III"	3940520	-0.198751733	0.008533395	0.060093149
COQ6	"coenzyme Q6 homolog, monooxygenase (S. cerevisiae)"	6060164	-0.191882309	0.008545717	0.060160874
CKLF	chemokine-like factor	5080367	-0.227320033	0.00856303	0.060263676
C16orf5	chromosome 16 open reading frame 5	130709	0.203073814	0.008582374	0.060367317
NA	NA	4200056	0.193373431	0.008583185	0.060367317
CHPT1	choline phosphotransferase 1	2260600	-0.216156093	0.008590276	0.060398088
RGMB	"RGM domain family, member B"	840553	0.292976355	0.008597666	0.060430943
E2F7	E2F transcription factor 7	4560450	0.20403376	0.008606934	0.060472571
ARHGAP18	Rho GTPase activating protein 18	3140445	-0.25424512	0.008609027	0.060472571
NA	NA	4670703	0.202916513	0.008632997	0.060595278
MUDENG	"MU-2/AP1M2 domain containing, death-inducing"	4670743	-0.234396581	0.008633566	0.060595278
SYNC	"syncoilin, intermediate filament protein"	5220452	-0.209067395	0.00863467	0.060595278
TPM3	tropomyosin 3	3400692	-0.268818249	0.008666516	0.060777831
STIP1	stress-induced-phosphoprotein 1	620711	0.225261896	0.008667563	0.060777831
EXOC5	exocyst complex component 5	4250181	-0.194594105	0.008668883	0.060777831
CCDC18	coiled-coil domain containing 18	6770541	-0.226266097	0.008674586	0.060798651
PRRX1	paired related homeobox 1	3400372	-0.229647171	0.008690735	0.060861337
NA	NA	3940678	0.233753686	0.008690997	0.060861337
MOAP1	modulator of apoptosis 1	270224	0.214092179	0.00869174	0.060861337
NCKAP5	NCK-associated protein 5	1340273	0.23211294	0.008703735	0.060926142
BRAT1	BRCA1-associated ATM activator 1	360050	-0.223254448	0.008713986	0.060978708
LYRM7	Lyrm7 homolog (mouse)	5900133	-0.234683726	0.008717081	0.060981177
NA	NA	1440601	-0.219526759	0.00873444	0.061083397
NA	NA	4590519	-0.20810655	0.008752867	0.061193023
NA	NA	5490435	-0.201243757	0.00877796	0.061343441
FAM92A1	"family with sequence similarity 92, member A1"	2970301	-0.191191937	0.008781773	0.061343441
GABARAPL2	GABA(A) receptor-associated protein-like 2	3120520	0.242351266	0.008782657	0.061343441
CNTNAP1	contactin associated protein 1	4570358	0.211655965	0.008793828	0.061402177
ZNF480	zinc finger protein 480	3520537	0.21686913	0.008800432	0.061420708
NA	NA	2070491	0.215077691	0.008802005	0.061420708
PAPPA	"pregnancy-associated plasma protein A, pappalysin 1"	730754	0.250587074	0.008806908	0.061435642
AKIRIN1	akirin 1	5820133	0.350883141	0.008815933	0.061479316
THUMPD2	THUMP domain containing 2	1230646	0.193514218	0.008820047	0.061488723
PCYOX1	prenylcysteine oxidase 1	3450725	0.233621238	0.008831203	0.061547199
VPS24	vacuolar protein sorting 24 homolog (S. cerevisiae)	2140634	-0.253620875	0.008841552	0.061600021
EED	embryonic ectoderm development	5700743	-0.210060269	0.008845347	0.06160716
MEGF6	multiple EGF-like-domains 6	6590220	-0.275628869	0.008862911	0.061710167
DAPK3	death-associated protein kinase 3	840682	-0.22328012	0.008886964	0.061858279
TNC	tenascin C	6940102	-0.202020379	0.008890186	0.061861344
E2F3	E2F transcription factor 3	3930059	0.230585868	0.00889656	0.061886328
C1QTNF5	C1q and tumor necrosis factor related protein 5	7320204	-0.260180953	0.008910494	0.061963873
YTHDF2	"YTH domain family, member 2"	610543	-0.224356863	0.008921005	0.062017576
TPRKB	TP53RK binding protein	6510044	-0.249938476	0.00892627	0.062034788
NDUFB2	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa"	4150687	0.211138626	0.008932802	0.062059997
HDHD2	haloacid dehalogenase-like hydrolase domain containing 2	6370477	0.207370865	0.00893798	0.062059997
CTNS	"cystinosin, lysosomal cystine transporter"	5910541	0.220424999	0.008939029	0.062059997
PARN	poly(A)-specific ribonuclease	1440022	-0.22534447	0.008942891	0.062059997
BIRC3	baculoviral IAP repeat containing 3	3060255	0.223744785	0.00894385	0.062059997
MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1	1770386	-0.226498375	0.008953521	0.062107719
PPM1D	"protein phosphatase, Mg2+/Mn2+ dependent, 1D"	5690554	0.221237181	0.008966761	0.062180169
ANKRA2	"ankyrin repeat, family A (RFXANK-like), 2"	7400114	0.236789129	0.008990508	0.062325407
NA	NA	5670497	-0.19250002	0.009001747	0.062383873
CYFIP2	cytoplasmic FMR1 interacting protein 2	3520020	0.205828412	0.009013937	0.062448894
CDK20	cyclin-dependent kinase 20	1820739	0.194401365	0.009023397	0.062494962
NA	NA	2690102	0.204656615	0.009027246	0.062502158
NGF	nerve growth factor (beta polypeptide)	4230369	-0.221004587	0.009030957	0.062508391
NA	NA	3170220	0.219781196	0.009046677	0.062597711
ZNHIT6	"zinc finger, HIT-type containing 6"	780259	0.241750674	0.009054372	0.062631469
DENND1A	DENN/MADD domain containing 1A	60524	-0.193232673	0.009086616	0.06283497
NA	NA	2900086	0.191746085	0.009090521	0.062842426
LCOR	ligand dependent nuclear receptor corepressor	6760364	-0.216511908	0.009097352	0.062870107
SOCS2	suppressor of cytokine signaling 2	6770673	-0.309667708	0.009125942	0.063048097
UCKL1	uridine-cytidine kinase 1-like 1	3930086	0.208483784	0.009137897	0.063102352
CD276	CD276 molecule	6100390	0.191122452	0.00913947	0.063102352
CD59	"CD59 molecule, complement regulatory protein"	4760593	0.198587639	0.009142897	0.063106422
EMILIN2	elastin microfibril interfacer 2	1190142	-0.207739914	0.009175409	0.063311174
TAF1C	"TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa"	2940707	0.21825526	0.009192178	0.06338851
ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2	4670717	0.214692292	0.009192317	0.06338851
SMNDC1	survival motor neuron domain containing 1	6520605	-0.229324528	0.009205703	0.063461139
NA	NA	6370246	0.329884313	0.009219948	0.063539643
ZW10	"ZW10, kinetochore associated, homolog (Drosophila)"	2970368	-0.260992013	0.009224161	0.063548981
ABR	active BCR-related gene	620240	-0.201375065	0.009232046	0.06357902
SLC24A6	"solute carrier family 24 (sodium/potassium/calcium exchanger), member 6"	2360376	-0.21293065	0.009236854	0.06357902
NA	NA	3520010	0.20688259	0.009237098	0.06357902
MLX	MAX-like protein X	2570768	-0.193672957	0.009253817	0.063674395
IP6K1	inositol hexakisphosphate kinase 1	6040064	0.200746431	0.009260825	0.063702903
DOCK2	dedicator of cytokinesis 2	10747	-0.195017691	0.009269758	0.063744632
NA	NA	3130358	0.213610323	0.009276108	0.063751964
ATXN7L3	ataxin 7-like 3	6220093	0.212672808	0.009276557	0.063751964
RPL17	ribosomal protein L17	2000593	0.213850883	0.00928186	0.063759274
ABCA3	"ATP-binding cassette, sub-family A (ABC1), member 3"	430402	0.225591342	0.009283355	0.063759274
TRAK1	"trafficking protein, kinesin binding 1"	4570707	0.197288444	0.009292923	0.063805281
MBP	myelin basic protein	4830204	0.208798421	0.009297757	0.063817378
COBRA1	cofactor of BRCA1	6380044	-0.198659841	0.009300424	0.063817378
C8orf4	chromosome 8 open reading frame 4	5570731	0.312493312	0.009309664	0.063861078
SYVN1	"synovial apoptosis inhibitor 1, synoviolin"	2680064	-0.198220832	0.009319475	0.063908667
CLNS1A	"chloride channel, nucleotide-sensitive, 1A"	1070639	0.205485828	0.009331904	0.063974175
SPATA18	spermatogenesis associated 18 homolog (rat)	2490215	0.231577066	0.009361145	0.064154851
DTWD1	DTW domain containing 1	4060296	-0.217146857	0.00936573	0.064166504
COPB1	"coatomer protein complex, subunit beta 1"	6980170	0.215593264	0.009384654	0.064276356
EMX2	empty spiracles homeobox 2	2070307	0.209306662	0.009402115	0.064376116
NA	NA	2260674	-0.199791587	0.009412274	0.064425845
ORC3	"origin recognition complex, subunit 3"	6770692	-0.225996054	0.00942492	0.06449255
NA	NA	6660717	0.214897269	0.009456834	0.064691029
ATP6V1B2	"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2"	6650017	-0.21696552	0.009460146	0.064693788
ARAP1	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1"	7210209	0.199315251	0.009468739	0.06472578
MRPS9	mitochondrial ribosomal protein S9	4830731	0.213393109	0.009470646	0.06472578
LASP1	LIM and SH3 protein 1	620300	-0.197493681	0.009480857	0.064775661
BMP2	bone morphogenetic protein 2	4280577	0.217559408	0.009483949	0.064776887
RGS10	regulator of G-protein signaling 10	1440209	0.284455365	0.009491922	0.064806442
TRAK1	"trafficking protein, kinesin binding 1"	6270347	0.26429502	0.009494104	0.064806442
PIK3IP1	phosphoinositide-3-kinase interacting protein 1	5390730	0.212367498	0.009525309	0.064999496
GRSF1	G-rich RNA sequence binding factor 1	1230358	0.196145614	0.00953467	0.065040331
ACOT9	acyl-CoA thioesterase 9	5220497	0.199777309	0.009537143	0.065040331
NA	NA	4060382	0.244451559	0.009559056	0.065168583
ANTXR1	anthrax toxin receptor 1	5700025	0.257030094	0.00956181	0.065168583
BEX4	"brain expressed, X-linked 4"	1110615	0.291620902	0.009602778	0.06542775
KIAA1967	KIAA1967	5050047	0.200456212	0.009608252	0.06544401
ITM2C	integral membrane protein 2C	1110669	0.195486006	0.00961105	0.06544401
C18orf25	chromosome 18 open reading frame 25	1410563	0.205521097	0.009620063	0.065466287
SSBP4	single stranded DNA binding protein 4	6840630	0.246818483	0.009621408	0.065466287
BLCAP	bladder cancer associated protein	2690524	0.207579194	0.009623153	0.065466287
GRAMD1A	GRAM domain containing 1A	3140438	0.229622389	0.009633029	0.065513437
DNASE2	"deoxyribonuclease II, lysosomal"	6200315	-0.248043855	0.009643129	0.065562071
NA	NA	5390066	-0.204367583	0.009652104	0.065603037
AGPAT1	"1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)"	4610044	0.19584163	0.009656598	0.065613532
ZIC2	Zic family member 2	510368	-0.198039341	0.009677805	0.065737543
PA2G4	"proliferation-associated 2G4, 38kDa"	5270280	0.210903946	0.009696726	0.065834605
NMB	neuromedin B	5670594	0.200683892	0.009698016	0.065834605
NA	NA	6770504	-0.209642538	0.009702723	0.065837805
NA	NA	1510603	0.209742639	0.009706776	0.065837805
FOXM1	forkhead box M1	2650364	-0.241555656	0.00970783	0.065837805
NA	NA	3840553	0.185289454	0.009710329	0.065837805
NA	NA	7510735	0.199238657	0.009716719	0.065844697
NA	NA	2680102	-0.22833477	0.009719764	0.065844697
TSPAN3	tetraspanin 3	4490615	0.206842501	0.009722573	0.065844697
MRP63	mitochondrial ribosomal protein 63	7550452	0.212717898	0.00972438	0.065844697
C14orf142	chromosome 14 open reading frame 142	610523	-0.230617679	0.009726149	0.065844697
KIAA1737	KIAA1737	7050204	-0.223916941	0.009736889	0.065897346
DHRS11	dehydrogenase/reductase (SDR family) member 11	6980300	-0.200802236	0.009746672	0.065943484
PES1	"pescadillo homolog 1, containing BRCT domain (zebrafish)"	1500066	-0.258062131	0.009754762	0.065978149
HLA-DMB	"major histocompatibility complex, class II, DM beta"	4900731	0.195098142	0.009759708	0.065991533
RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	2100241	-0.223273811	0.009784103	0.066136372
EDN1	endothelin 1	7040386	-0.187116931	0.009800139	0.066224642
ATP6V0D1	"ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1"	6330377	0.201610188	0.009813946	0.066297799
NSUN2	"NOP2/Sun domain family, member 2"	3450093	-0.211521339	0.009838782	0.066429007
FLVCR1	feline leukemia virus subgroup C cellular receptor 1	1940280	0.248944272	0.009839343	0.066429007
C1orf86	chromosome 1 open reading frame 86	1570564	0.19350343	0.009842773	0.066431995
BTN2A1	"butyrophilin, subfamily 2, member A1"	2570477	0.204046009	0.009850795	0.066465968
B9D1	B9 protein domain 1	6060594	0.231844429	0.009857299	0.066489677
RAB26	"RAB26, member RAS oncogene family"	2600240	0.23033418	0.009865536	0.066493661
ZDHHC13	"zinc finger, DHHC-type containing 13"	5550524	-0.222259615	0.009866297	0.066493661
NR2F2	"nuclear receptor subfamily 2, group F, member 2"	7380202	-0.241291718	0.009866859	0.066493661
NA	NA	1500575	-0.189030273	0.009872109	0.066508883
C4orf34	chromosome 4 open reading frame 34	6900301	-0.209312105	0.009877945	0.066516143
GSDMB	gasdermin B	5390608	0.196505479	0.009879404	0.066516143
AIM1	absent in melanoma 1	580255	0.198606915	0.009882159	0.066516143
DHX40	DEAH (Asp-Glu-Ala-His) box polypeptide 40	5220433	0.212904098	0.009885279	0.066517011
MOGS	mannosyl-oligosaccharide glucosidase	4230309	0.199959057	0.009899075	0.066589694
ZMYM3	"zinc finger, MYM-type 3"	2340709	0.27021692	0.009918852	0.066683734
USP13	ubiquitin specific peptidase 13 (isopeptidase T-3)	3990075	-0.206660837	0.009919052	0.066683734
MAD2L1BP	MAD2L1 binding protein	6330538	0.204961018	0.009938685	0.066792326
NA	NA	7380619	-0.210139506	0.009942567	0.066792326
HNRNPD	"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)"	4180576	-0.207276478	0.009948328	0.066792326
MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	1440440	0.199586498	0.009948573	0.066792326
NGFRAP1	nerve growth factor receptor (TNFRSF16) associated protein 1	6860220	0.204113741	0.009950221	0.066792326
RAB7A	"RAB7A, member RAS oncogene family"	4730685	0.240713283	0.009958567	0.066828176
RWDD1	RWD domain containing 1	1030438	-0.228729688	0.009968391	0.066873924
XDH	xanthine dehydrogenase	2480088	-0.205707071	0.009976912	0.066910903
CXCL1	"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)"	5720039	-0.210052276	0.009991647	0.066989519
IRAK3	interleukin-1 receptor-associated kinase 3	2360719	-0.192607165	0.009995122	0.066992619
TRNT1	"tRNA nucleotidyl transferase, CCA-adding, 1"	4810326	0.21140559	0.009999134	0.06699932
PNKD	paroxysmal nonkinesigenic dyskinesia	6400128	-0.208578595	0.010022408	0.067135037
SRA1	steroid receptor RNA activator 1	4290075	0.230903991	0.010049759	0.067272967
C9orf95	chromosome 9 open reading frame 95	1980180	0.219653408	0.010054387	0.067272967
NA	NA	6220193	-0.197908397	0.010056089	0.067272967
NA	NA	510132	0.194724209	0.010057958	0.067272967
MUC1	"mucin 1, cell surface associated"	7650026	-0.192362884	0.010058124	0.067272967
SNAI2	snail homolog 2 (Drosophila)	50255	-0.272716839	0.010068562	0.067300882
NA	NA	2190341	0.239882893	0.010070644	0.067300882
CDK9	cyclin-dependent kinase 9	430767	0.212142577	0.010071376	0.067300882
FAM53B	"family with sequence similarity 53, member B"	6380079	0.194944601	0.01007695	0.067317899
C5orf32	chromosome 5 open reading frame 32	4540241	0.22601503	0.010090445	0.067387811
KIAA0319L	KIAA0319-like	630397	0.189340314	0.010103396	0.067454043
INMT	indolethylamine N-methyltransferase	6400463	0.248107701	0.010139469	0.067674565
MTX3	metaxin 3	1430653	0.206027174	0.010144146	0.067685469
ZNF74	zinc finger protein 74	2710093	0.213174011	0.010153284	0.06772612
TUBB2A	"tubulin, beta 2A"	450292	-0.209251141	0.010156939	0.067729789
EXTL3	exostoses (multiple)-like 3	10184	0.209696395	0.010159925	0.067729789
C20orf24	chromosome 20 open reading frame 24	4560554	0.221896055	0.010173632	0.067800837
RBCK1	RanBP-type and C3HC4-type zinc finger containing 1	5820753	0.20187612	0.010181846	0.067822695
CEP85	centrosomal protein 85kDa	5310348	-0.195542112	0.010183011	0.067822695
C12orf35	chromosome 12 open reading frame 35	7510424	-0.245165832	0.010190297	0.067850904
KIAA1522	KIAA1522	1570064	-0.232932921	0.010207035	0.067942008
PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	130187	0.201586238	0.010215344	0.067976972
HSD17B11	hydroxysteroid (17-beta) dehydrogenase 11	6580487	-0.252559221	0.010246455	0.068163599
NA	NA	1090470	-0.226072632	0.010260068	0.068231845
RBM4B	RNA binding motif protein 4B	1710639	-0.193595825	0.01026285	0.068231845
NIN	ninein (GSK3B interacting protein)	2190196	0.189186577	0.010277269	0.068302986
NLRX1	NLR family member X1	430333	0.245689739	0.010279693	0.068302986
ZNF621	zinc finger protein 621	2630360	-0.192551944	0.010286151	0.068325484
KLHL5	kelch-like 5 (Drosophila)	1570349	-0.213805248	0.010294309	0.068359253
BTRC	beta-transducin repeat containing	1090477	0.20185335	0.010320831	0.068514914
FUT11	"fucosyltransferase 11 (alpha (1,3) fucosyltransferase)"	70553	-0.188124357	0.010339927	0.0686212
CENPQ	centromere protein Q	2350630	-0.259098	0.010350961	0.068673934
GEM	GTP binding protein overexpressed in skeletal muscle	1440408	0.299566032	0.01035862	0.068704249
NA	NA	4230044	0.192162475	0.010385102	0.068859354
CCRL1	chemokine (C-C motif) receptor-like 1	1470128	-0.294516937	0.010396369	0.06891352
ARF1	ADP-ribosylation factor 1	3310139	-0.20070654	0.010406137	0.068957709
TNFSF9	"tumor necrosis factor (ligand) superfamily, member 9"	5420441	0.205691104	0.01041823	0.069017285
